row_number,module_name,fecha,anio,mes_num,mes_nombre,periodo,registro_valido,estado_fila_norm,municipio,proyecto_codigo,proyecto_nombre,tipo_asistencia,linea_enfoque,es_nueva_asistencia,cuenta_indicador_asistencia,sectores,resultado_mes,observaciones
36,asistencias,,,,,NaT,False,,,,,,,False,False,,,
37,asistencias,,,,,NaT,False,,,,,,,False,False,,,
38,asistencias,,,,,NaT,False,,,,,,,False,False,,,
39,asistencias,,,,,NaT,False,,,,,,,False,False,,,
40,asistencias,,,,,NaT,False,,,,,,,False,False,,,
41,asistencias,,,,,NaT,False,,,,,,,False,False,,,
42,asistencias,,,,,NaT,False,,,,,,,False,False,,,
43,asistencias,,,,,NaT,False,,,,,,,False,False,,,
44,asistencias,,,,,NaT,False,,,,,,,False,False,,,
45,asistencias,,,,,NaT,False,,,,,,,False,False,,,
46,asistencias,,,,,NaT,False,,,,,,,False,False,,,
47,asistencias,,,,,NaT,False,,,,,,,False,False,,,
48,asistencias,,,,,NaT,False,,,,,,,False,False,,,
49,asistencias,,,,,NaT,False,,,,,,,False,False,,,
50,asistencias,,,,,NaT,False,,,,,,,False,False,,,
51,asistencias,,,,,NaT,False,,,,,,,False,False,,,
52,asistencias,,,,,NaT,False,,,,,,,False,False,,,
53,asistencias,,,,,NaT,False,,,,,,,False,False,,,
54,asistencias,,,,,NaT,False,,,,,,,False,False,,,
55,asistencias,,,,,NaT,False,,,,,,,False,False,,,
56,asistencias,,,,,NaT,False,,,,,,,False,False,,,
57,asistencias,,,,,NaT,False,,,,,,,False,False,,,
58,asistencias,,,,,NaT,False,,,,,,,False,False,,,
59,asistencias,,,,,NaT,False,,,,,,,False,False,,,
60,asistencias,,,,,NaT,False,,,,,,,False,False,,,
61,asistencias,,,,,NaT,False,,,,,,,False,False,,,
62,asistencias,,,,,NaT,False,,,,,,,False,False,,,
63,asistencias,,,,,NaT,False,,,,,,,False,False,,,
64,asistencias,,,,,NaT,False,,,,,,,False,False,,,
65,asistencias,,,,,NaT,False,,,,,,,False,False,,,
66,asistencias,,,,,NaT,False,,,,,,,False,False,,,
67,asistencias,,,,,NaT,False,,,,,,,False,False,,,
68,asistencias,,,,,NaT,False,,,,,,,False,False,,,
69,asistencias,,,,,NaT,False,,,,,,,False,False,,,
70,asistencias,,,,,NaT,False,,,,,,,False,False,,,
71,asistencias,,,,,NaT,False,,,,,,,False,False,,,
72,asistencias,,,,,NaT,False,,,,,,,False,False,,,
73,asistencias,,,,,NaT,False,,,,,,,False,False,,,
74,asistencias,,,,,NaT,False,,,,,,,False,False,,,
75,asistencias,,,,,NaT,False,,,,,,,False,False,,,
76,asistencias,,,,,NaT,False,,,,,,,False,False,,,
77,asistencias,,,,,NaT,False,,,,,,,False,False,,,
78,asistencias,,,,,NaT,False,,,,,,,False,False,,,
79,asistencias,,,,,NaT,False,,,,,,,False,False,,,
80,asistencias,,,,,NaT,False,,,,,,,False,False,,,
81,asistencias,,,,,NaT,False,,,,,,,False,False,,,
82,asistencias,,,,,NaT,False,,,,,,,False,False,,,
83,asistencias,,,,,NaT,False,,,,,,,False,False,,,
84,asistencias,,,,,NaT,False,,,,,,,False,False,,,
85,asistencias,,,,,NaT,False,,,,,,,False,False,,,
86,asistencias,,,,,NaT,False,,,,,,,False,False,,,
87,asistencias,,,,,NaT,False,,,,,,,False,False,,,
88,asistencias,,,,,NaT,False,,,,,,,False,False,,,
89,asistencias,,,,,NaT,False,,,,,,,False,False,,,
90,asistencias,,,,,NaT,False,,,,,,,False,False,,,
91,asistencias,,,,,NaT,False,,,,,,,False,False,,,
92,asistencias,,,,,NaT,False,,,,,,,False,False,,,
93,asistencias,,,,,NaT,False,,,,,,,False,False,,,
94,asistencias,,,,,NaT,False,,,,,,,False,False,,,
95,asistencias,,,,,NaT,False,,,,,,,False,False,,,
96,asistencias,,,,,NaT,False,,,,,,,False,False,,,
97,asistencias,,,,,NaT,False,,,,,,,False,False,,,
98,asistencias,,,,,NaT,False,,,,,,,False,False,,,
99,asistencias,,,,,NaT,False,,,,,,,False,False,,,
100,asistencias,,,,,NaT,False,,,,,,,False,False,,,
101,asistencias,,,,,NaT,False,,,,,,,False,False,,,
102,asistencias,,,,,NaT,False,,,,,,,False,False,,,
103,asistencias,,,,,NaT,False,,,,,,,False,False,,,
104,asistencias,,,,,NaT,False,,,,,,,False,False,,,
105,asistencias,,,,,NaT,False,,,,,,,False,False,,,
106,asistencias,,,,,NaT,False,,,,,,,False,False,,,
107,asistencias,,,,,NaT,False,,,,,,,False,False,,,
108,asistencias,,,,,NaT,False,,,,,,,False,False,,,
109,asistencias,,,,,NaT,False,,,,,,,False,False,,,
110,asistencias,,,,,NaT,False,,,,,,,False,False,,,
111,asistencias,,,,,NaT,False,,,,,,,False,False,,,
112,asistencias,,,,,NaT,False,,,,,,,False,False,,,
113,asistencias,,,,,NaT,False,,,,,,,False,False,,,
114,asistencias,,,,,NaT,False,,,,,,,False,False,,,
115,asistencias,,,,,NaT,False,,,,,,,False,False,,,
116,asistencias,,,,,NaT,False,,,,,,,False,False,,,
117,asistencias,,,,,NaT,False,,,,,,,False,False,,,
118,asistencias,,,,,NaT,False,,,,,,,False,False,,,
119,asistencias,,,,,NaT,False,,,,,,,False,False,,,
120,asistencias,,,,,NaT,False,,,,,,,False,False,,,
121,asistencias,,,,,NaT,False,,,,,,,False,False,,,
122,asistencias,,,,,NaT,False,,,,,,,False,False,,,
123,asistencias,,,,,NaT,False,,,,,,,False,False,,,
124,asistencias,,,,,NaT,False,,,,,,,False,False,,,
125,asistencias,,,,,NaT,False,,,,,,,False,False,,,
126,asistencias,,,,,NaT,False,,,,,,,False,False,,,
127,asistencias,,,,,NaT,False,,,,,,,False,False,,,
128,asistencias,,,,,NaT,False,,,,,,,False,False,,,
129,asistencias,,,,,NaT,False,,,,,,,False,False,,,
130,asistencias,,,,,NaT,False,,,,,,,False,False,,,
131,asistencias,,,,,NaT,False,,,,,,,False,False,,,
132,asistencias,,,,,NaT,False,,,,,,,False,False,,,
133,asistencias,,,,,NaT,False,,,,,,,False,False,,,
134,asistencias,,,,,NaT,False,,,,,,,False,False,,,
135,asistencias,,,,,NaT,False,,,,,,,False,False,,,
136,asistencias,,,,,NaT,False,,,,,,,False,False,,,
137,asistencias,,,,,NaT,False,,,,,,,False,False,,,
138,asistencias,,,,,NaT,False,,,,,,,False,False,,,
139,asistencias,,,,,NaT,False,,,,,,,False,False,,,
140,asistencias,,,,,NaT,False,,,,,,,False,False,,,
141,asistencias,,,,,NaT,False,,,,,,,False,False,,,
142,asistencias,,,,,NaT,False,,,,,,,False,False,,,
143,asistencias,,,,,NaT,False,,,,,,,False,False,,,
144,asistencias,,,,,NaT,False,,,,,,,False,False,,,
145,asistencias,,,,,NaT,False,,,,,,,False,False,,,
146,asistencias,,,,,NaT,False,,,,,,,False,False,,,
147,asistencias,,,,,NaT,False,,,,,,,False,False,,,
148,asistencias,,,,,NaT,False,,,,,,,False,False,,,
149,asistencias,,,,,NaT,False,,,,,,,False,False,,,
150,asistencias,,,,,NaT,False,,,,,,,False,False,,,
151,asistencias,,,,,NaT,False,,,,,,,False,False,,,
152,asistencias,,,,,NaT,False,,,,,,,False,False,,,
153,asistencias,,,,,NaT,False,,,,,,,False,False,,,
154,asistencias,,,,,NaT,False,,,,,,,False,False,,,
155,asistencias,,,,,NaT,False,,,,,,,False,False,,,
156,asistencias,,,,,NaT,False,,,,,,,False,False,,,
157,asistencias,,,,,NaT,False,,,,,,,False,False,,,
158,asistencias,,,,,NaT,False,,,,,,,False,False,,,
159,asistencias,,,,,NaT,False,,,,,,,False,False,,,
160,asistencias,,,,,NaT,False,,,,,,,False,False,,,
161,asistencias,,,,,NaT,False,,,,,,,False,False,,,
162,asistencias,,,,,NaT,False,,,,,,,False,False,,,
163,asistencias,,,,,NaT,False,,,,,,,False,False,,,
164,asistencias,,,,,NaT,False,,,,,,,False,False,,,
165,asistencias,,,,,NaT,False,,,,,,,False,False,,,
166,asistencias,,,,,NaT,False,,,,,,,False,False,,,
167,asistencias,,,,,NaT,False,,,,,,,False,False,,,
168,asistencias,,,,,NaT,False,,,,,,,False,False,,,
169,asistencias,,,,,NaT,False,,,,,,,False,False,,,
170,asistencias,,,,,NaT,False,,,,,,,False,False,,,
171,asistencias,,,,,NaT,False,,,,,,,False,False,,,
172,asistencias,,,,,NaT,False,,,,,,,False,False,,,
173,asistencias,,,,,NaT,False,,,,,,,False,False,,,
174,asistencias,,,,,NaT,False,,,,,,,False,False,,,
175,asistencias,,,,,NaT,False,,,,,,,False,False,,,
176,asistencias,,,,,NaT,False,,,,,,,False,False,,,
177,asistencias,,,,,NaT,False,,,,,,,False,False,,,
178,asistencias,,,,,NaT,False,,,,,,,False,False,,,
179,asistencias,,,,,NaT,False,,,,,,,False,False,,,
180,asistencias,,,,,NaT,False,,,,,,,False,False,,,
181,asistencias,,,,,NaT,False,,,,,,,False,False,,,
182,asistencias,,,,,NaT,False,,,,,,,False,False,,,
183,asistencias,,,,,NaT,False,,,,,,,False,False,,,
184,asistencias,,,,,NaT,False,,,,,,,False,False,,,
185,asistencias,,,,,NaT,False,,,,,,,False,False,,,
186,asistencias,,,,,NaT,False,,,,,,,False,False,,,
187,asistencias,,,,,NaT,False,,,,,,,False,False,,,
188,asistencias,,,,,NaT,False,,,,,,,False,False,,,
189,asistencias,,,,,NaT,False,,,,,,,False,False,,,
190,asistencias,,,,,NaT,False,,,,,,,False,False,,,
191,asistencias,,,,,NaT,False,,,,,,,False,False,,,
192,asistencias,,,,,NaT,False,,,,,,,False,False,,,
193,asistencias,,,,,NaT,False,,,,,,,False,False,,,
194,asistencias,,,,,NaT,False,,,,,,,False,False,,,
195,asistencias,,,,,NaT,False,,,,,,,False,False,,,
196,asistencias,,,,,NaT,False,,,,,,,False,False,,,
197,asistencias,,,,,NaT,False,,,,,,,False,False,,,
198,asistencias,,,,,NaT,False,,,,,,,False,False,,,
199,asistencias,,,,,NaT,False,,,,,,,False,False,,,
200,asistencias,,,,,NaT,False,,,,,,,False,False,,,
201,asistencias,,,,,NaT,False,,,,,,,False,False,,,
202,asistencias,,,,,NaT,False,,,,,,,False,False,,,
203,asistencias,,,,,NaT,False,,,,,,,False,False,,,
204,asistencias,,,,,NaT,False,,,,,,,False,False,,,
205,asistencias,,,,,NaT,False,,,,,,,False,False,,,
206,asistencias,,,,,NaT,False,,,,,,,False,False,,,
