programa_id,periodo,anio,mes_num,mes_nombre,tema,es_tema_nucleo,eventos,personas
fortalecimiento_municipal,2026-01,2026,1,Enero,Cumplimiento legal ambiental y saneamiento,True,1,5.0
fortalecimiento_municipal,2026-01,2026,1,Enero,Saneamiento ambiental,False,1,5.0
fortalecimiento_municipal,2026-04,2026,4,Abril,Cumplimiento legal ambiental y saneamiento,True,2,6.0
fortalecimiento_municipal,2026-04,2026,4,Abril,Saneamiento ambiental,False,2,6.0
