row_number,module_name,fecha,anio,mes_num,mes_nombre,periodo,registro_valido,estado_fila_norm,row_alert_estado_incompleto,tipo_reunion,tema_principal,instituciones_participantes,acuerdos_principales,is_codema,is_mesa_dep,is_mesa_municipal,municipios
22,reuniones,2026-04-10 00:00:00.000000000,2026,4,Abril,2026-04,True,OK,False,Otro,Programa de pequeñas donaciones Fondo patrimonial,FCA,Socialización informativa para participar en la postulacion de proyectos forestales,False,False,False,
23,reuniones,2026-04-08 00:00:00.000000000,2026,4,Abril,2026-04,True,OK,False,Mesa técnica municipal,Estrategia de reduccion de desechos de un solo uso en el municipio de San Marcos La Laguna.,"Municipalidad, MARN, AALA, Area de Salud","Establecer la estrategia de comunicacion para la reduccion de productos de un solo uso, socialización del acuerdo municipal, construccion de PIRDS y actualizacion del estudio de caracterizacion de residuos y desechos solidos del sector domiciliar, comercial y de mercado.",False,False,True,San Marcos La Laguna
24,reuniones,2026-04-24 00:00:00.000000000,2026,4,Abril,2026-04,True,OK,False,Otro,Programa de pequeñas donaciones Fondo patrimonial,AALA,Revisión de lineamiento de postulacion para proyectos del programa de pequeñas donaciones del fondo patrimonial FCA,False,False,False,
25,reuniones,,,,,,False,,False,,,,,False,False,False,
26,reuniones,,,,,,False,,False,,,,,False,False,False,
27,reuniones,,,,,,False,,False,,,,,False,False,False,
28,reuniones,,,,,,False,,False,,,,,False,False,False,
29,reuniones,,,,,,False,,False,,,,,False,False,False,
30,reuniones,,,,,,False,,False,,,,,False,False,False,
31,reuniones,,,,,,False,,False,,,,,False,False,False,
32,reuniones,,,,,,False,,False,,,,,False,False,False,
33,reuniones,,,,,,False,,False,,,,,False,False,False,
34,reuniones,,,,,,False,,False,,,,,False,False,False,
35,reuniones,,,,,,False,,False,,,,,False,False,False,
36,reuniones,,,,,,False,,False,,,,,False,False,False,
37,reuniones,,,,,,False,,False,,,,,False,False,False,
38,reuniones,,,,,,False,,False,,,,,False,False,False,
39,reuniones,,,,,,False,,False,,,,,False,False,False,
40,reuniones,,,,,,False,,False,,,,,False,False,False,
41,reuniones,,,,,,False,,False,,,,,False,False,False,
42,reuniones,,,,,,False,,False,,,,,False,False,False,
43,reuniones,,,,,,False,,False,,,,,False,False,False,
44,reuniones,,,,,,False,,False,,,,,False,False,False,
45,reuniones,,,,,,False,,False,,,,,False,False,False,
46,reuniones,,,,,,False,,False,,,,,False,False,False,
47,reuniones,,,,,,False,,False,,,,,False,False,False,
48,reuniones,,,,,,False,,False,,,,,False,False,False,
49,reuniones,,,,,,False,,False,,,,,False,False,False,
50,reuniones,,,,,,False,,False,,,,,False,False,False,
51,reuniones,,,,,,False,,False,,,,,False,False,False,
52,reuniones,,,,,,False,,False,,,,,False,False,False,
53,reuniones,,,,,,False,,False,,,,,False,False,False,
54,reuniones,,,,,,False,,False,,,,,False,False,False,
55,reuniones,,,,,,False,,False,,,,,False,False,False,
56,reuniones,,,,,,False,,False,,,,,False,False,False,
57,reuniones,,,,,,False,,False,,,,,False,False,False,
58,reuniones,,,,,,False,,False,,,,,False,False,False,
59,reuniones,,,,,,False,,False,,,,,False,False,False,
60,reuniones,,,,,,False,,False,,,,,False,False,False,
61,reuniones,,,,,,False,,False,,,,,False,False,False,
62,reuniones,,,,,,False,,False,,,,,False,False,False,
63,reuniones,,,,,,False,,False,,,,,False,False,False,
64,reuniones,,,,,,False,,False,,,,,False,False,False,
65,reuniones,,,,,,False,,False,,,,,False,False,False,
66,reuniones,,,,,,False,,False,,,,,False,False,False,
67,reuniones,,,,,,False,,False,,,,,False,False,False,
68,reuniones,,,,,,False,,False,,,,,False,False,False,
69,reuniones,,,,,,False,,False,,,,,False,False,False,
70,reuniones,,,,,,False,,False,,,,,False,False,False,
71,reuniones,,,,,,False,,False,,,,,False,False,False,
72,reuniones,,,,,,False,,False,,,,,False,False,False,
73,reuniones,,,,,,False,,False,,,,,False,False,False,
74,reuniones,,,,,,False,,False,,,,,False,False,False,
75,reuniones,,,,,,False,,False,,,,,False,False,False,
76,reuniones,,,,,,False,,False,,,,,False,False,False,
77,reuniones,,,,,,False,,False,,,,,False,False,False,
78,reuniones,,,,,,False,,False,,,,,False,False,False,
79,reuniones,,,,,,False,,False,,,,,False,False,False,
80,reuniones,,,,,,False,,False,,,,,False,False,False,
81,reuniones,,,,,,False,,False,,,,,False,False,False,
82,reuniones,,,,,,False,,False,,,,,False,False,False,
83,reuniones,,,,,,False,,False,,,,,False,False,False,
84,reuniones,,,,,,False,,False,,,,,False,False,False,
85,reuniones,,,,,,False,,False,,,,,False,False,False,
86,reuniones,,,,,,False,,False,,,,,False,False,False,
87,reuniones,,,,,,False,,False,,,,,False,False,False,
88,reuniones,,,,,,False,,False,,,,,False,False,False,
89,reuniones,,,,,,False,,False,,,,,False,False,False,
90,reuniones,,,,,,False,,False,,,,,False,False,False,
91,reuniones,,,,,,False,,False,,,,,False,False,False,
92,reuniones,,,,,,False,,False,,,,,False,False,False,
93,reuniones,,,,,,False,,False,,,,,False,False,False,
94,reuniones,,,,,,False,,False,,,,,False,False,False,
95,reuniones,,,,,,False,,False,,,,,False,False,False,
96,reuniones,,,,,,False,,False,,,,,False,False,False,
97,reuniones,,,,,,False,,False,,,,,False,False,False,
98,reuniones,,,,,,False,,False,,,,,False,False,False,
99,reuniones,,,,,,False,,False,,,,,False,False,False,
100,reuniones,,,,,,False,,False,,,,,False,False,False,
101,reuniones,,,,,,False,,False,,,,,False,False,False,
102,reuniones,,,,,,False,,False,,,,,False,False,False,
103,reuniones,,,,,,False,,False,,,,,False,False,False,
104,reuniones,,,,,,False,,False,,,,,False,False,False,
