programa_id,periodo,anio,mes_num,mes_nombre,sector,estudios,estudios_finalizados,estudios_rs_comercial_mercados
fortalecimiento_municipal,2026-01,2026,1,Enero,Comercial,1,0,0
fortalecimiento_municipal,2026-02,2026,2,Febrero,Domiciliar,4,2,0
fortalecimiento_municipal,2026-02,2026,2,Febrero,Mixto,1,1,0
fortalecimiento_municipal,2026-03,2026,3,Marzo,Comercial,2,2,2
fortalecimiento_municipal,2026-03,2026,3,Marzo,Domiciliar,1,1,0
fortalecimiento_municipal,2026-03,2026,3,Marzo,Mixto,1,1,0
fortalecimiento_municipal,2026-04,2026,4,Abril,Domiciliar,1,1,0
fortalecimiento_municipal,2026-04,2026,4,Abril,Mixto,1,1,0
