row_number,module_name,fecha,anio,mes_num,mes_nombre,periodo,registro_valido,estado_fila_norm,row_alert_municipio_missing,row_alert_estado_incompleto,modalidad,tipo_actividad,participantes_totales,n_tecnicos,n_operarios,n_otro_personal,instituciones_participantes,observaciones,municipios,temas,temas_nucleo,has_core_theme
70,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
71,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
72,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
73,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
74,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
75,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
76,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
77,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
78,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
79,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
80,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
81,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
82,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
83,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
84,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
85,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
86,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
87,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
88,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
89,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
90,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
91,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
92,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
93,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
94,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
95,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
96,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
97,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
98,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
99,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
100,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
101,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
102,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
103,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
104,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
105,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
106,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
107,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
108,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
109,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
110,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
111,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
112,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
113,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
114,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
115,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
116,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
117,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
118,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
119,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
120,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
121,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
122,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
123,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
124,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
125,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
126,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
127,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
128,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
129,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
130,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
131,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
132,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
133,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
134,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
135,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
136,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
137,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
138,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
139,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
140,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
141,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
142,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
143,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
144,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
145,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
146,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
147,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
148,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
149,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
150,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
151,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
152,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
153,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
154,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
155,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
156,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
157,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
158,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
159,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
160,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
161,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
162,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
163,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
164,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
165,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
166,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
167,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
168,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
169,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
