programa_id,programa,anio_reportado,mes_reportado,estado_del_reporte,periodo_clave,observaciones_generales_del_mes,Módulo,Activo este mes,Nota
,Fortalecimiento municipal,,Febrero,Final,2026-02,,Capacitaciones,Sí,"Si eliges Sí, usa la pestaña 03_Capacitaciones"
,Fortalecimiento municipal,,Febrero,Final,2026-02,,Asistencias técnicas,Sí,"Si eliges Sí, usa la pestaña 04_Asistencias"
,Fortalecimiento municipal,,Febrero,Final,2026-02,,Estudios de caracterización,Sí,"Si eliges Sí, usa la pestaña 05_Estudios"
,Fortalecimiento municipal,,Febrero,Final,2026-02,,PIRDES,Sí,"Si eliges Sí, usa la pestaña 06_PIRDES"
,Fortalecimiento municipal,,Febrero,Final,2026-02,,Reuniones y mesas técnicas,Sí,"Si eliges Sí, usa la pestaña 07_Reuniones"
