program_id,program_name,periodo_clave,mes_num,mes_label,indicator_id,indicador_nombre,unidad,categoria,modelo_medicion,valor_mes,valor_acumulado,meta_mes,meta_anual,esperado_al_corte,pct_meta_anual,pct_vs_esperado,cumplio_mes,meses_cumplidos,meses_transcurridos,aporta_metas_epc,estatus,orden_dashboard,is_latest_data_month
educando_para_conservar,Educando para Conservar,2026-02,2,Febrero,actividades_campo,Actividades de campo,actividades,estrategico,annual_cumulative_profiled,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0,0,0,False,gris,5,False
educando_para_conservar,Educando para Conservar,2026-02,2,Febrero,estudiantes_actividades_campo,Estudiantes en actividades de campo,estudiantes,estrategico,annual_cumulative_profiled,0.0,0.0,0.0,3514.0,0.0,0.0,0.0,0,0,0,False,gris,6,False
educando_para_conservar,Educando para Conservar,2026-02,2,Febrero,jovenes_formados_diplomado,Jóvenes formados en diplomado,jóvenes,estrategico,milestone_window,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0,0,0,False,gris,7,False
educando_para_conservar,Educando para Conservar,2026-02,2,Febrero,propuestas_juveniles,Propuestas juveniles,propuestas,estrategico,milestone_window,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0,0,0,False,gris,8,False
educando_para_conservar,Educando para Conservar,2026-02,2,Febrero,capitales_semilla,Capitales semilla entregados,capitales,estrategico,milestone_window,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,0,False,gris,9,False
educando_para_conservar,Educando para Conservar,2026-02,2,Febrero,act_reforestacion,Campañas de reforestación,actividades,tactico,annual_cumulative_profiled,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0,0,0,False,gris,10,False
educando_para_conservar,Educando para Conservar,2026-02,2,Febrero,act_monitoreo_reforestadas,Monitoreo de áreas reforestadas,actividades,tactico,annual_cumulative_profiled,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0,0,0,False,gris,11,False
educando_para_conservar,Educando para Conservar,2026-02,2,Febrero,act_tul,Manejo / poda / mantenimiento de tul,actividades,tactico,annual_cumulative_profiled,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0,0,0,False,gris,12,False
educando_para_conservar,Educando para Conservar,2026-02,2,Febrero,act_ferias,Ferias ambientales,actividades,tactico,annual_cumulative_profiled,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0,0,0,False,gris,13,False
educando_para_conservar,Educando para Conservar,2026-02,2,Febrero,act_huertos,Huertos escolares,actividades,tactico,milestone_window,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0,0,0,False,gris,14,False
educando_para_conservar,Educando para Conservar,2026-02,2,Febrero,act_giras,Giras educativas,actividades,tactico,annual_cumulative_profiled,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0,0,0,False,gris,15,False
educando_para_conservar,Educando para Conservar,2026-02,2,Febrero,act_murales,Murales pedagógicos,actividades,tactico,milestone_window,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,0,False,gris,16,False
educando_para_conservar,Educando para Conservar,2026-02,2,Febrero,act_centros_acopio,Centros de acopio escolar,actividades,tactico,milestone_window,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0,0,0,False,gris,17,False
