periodo_clave,anio_reportado,mes_num,mes_label,fecha_asistencia,municipio_asistencia,proyecto_codigo,nombre_corto_proyecto,tipo_asistencia_actividad,linea_enfoque,sector_asistencia,movimiento_asistencia,etapa_proyecto,cuenta_nueva_asistencia,nueva_asistencia_flag,resultado_asistencia,observaciones_asistencia
2026-02,2026,2,Febrero,2026-02-10,Sololá,1,Vertedero Picacho,Visita a planta de tratamiento,Gestión integral de residuos y desechos sólidos,Desechos sólidos,Nueva,Gestión integral de residuos y desechos sólidos,Sí,1,Verificación del cierre de operaciones del vertedero municipal Picacho.,
2026-02,2026,2,Febrero,2026-02-10,Sololá,2,PTRS Coxom,Visita a planta de tratamiento,Gestión integral de residuos y desechos sólidos,Desechos sólidos,Nueva,Gestión integral de residuos y desechos sólidos,Sí,1,Diagnostico de operacion actual y planificación de nuevo relleno sanitario,
2026-02,2026,2,Febrero,2026-02-11,San Antonio Palopó,3,PTRS San Antonio Palopó,Visita a planta de tratamiento,Gestión integral de residuos y desechos sólidos,Desechos sólidos,Nueva,Gestión integral de residuos y desechos sólidos,Sí,1,Diagnostico para PIRDS,
2026-02,2026,2,Febrero,2026-02-19,Santa Catarina Palopó,4,PTAR Santa Catarina Palopó,Visita a planta de tratamiento,Tratamiento de aguas residuales,Tratamiento de aguas residuales,Nueva,Tratamiento de aguas residuales,Sí,1,Diagnostico de funcionamiento con consultor externo para estabilización de operacion.,
2026-02,2026,2,Febrero,2026-02-23,San Antonio Palopó,3,PTRS San Antonio Palopó,Visita a planta de tratamiento,Gestión integral de residuos y desechos sólidos,Desechos sólidos,Seguimiento,Gestión integral de residuos y desechos sólidos,No,0,Levantamiento de fotogrametría de relleno sanitario,
2026-02,2026,2,Febrero,2026-02-24,Santa Catarina Palopó,4,Simulacro nacional de terremoto,Otro,Otro,Otro,Nueva,Otro,Sí,1,Llenado de boleta de evaluacion de respuesta de terremoto,
2026-02,2026,2,Febrero,2026-02-25,Panajachel,5,Visita a centro de acopio AR,Visita a planta de tratamiento,Gestión integral de residuos y desechos sólidos,Desechos sólidos,Nueva,Gestión integral de residuos y desechos sólidos,Sí,1,Acompañamiento técnico a profesionales de USAC para conocer sobre el manejo de reciclables de AR,
2026-02,2026,2,Febrero,2026-03-05,San Juan La Laguna,6,Visita a terreno para centro de transferencia AR,Seguimiento técnico,Gestión integral de residuos y desechos sólidos,Desechos sólidos,Nueva,Gestión integral de residuos y desechos sólidos,Sí,1,Referencia para elaboración de EIA,
2026-02,2026,2,Febrero,2026-03-08,San Juan La Laguna,6,Visita a PTRS,Seguimiento técnico,Gestión integral de residuos y desechos sólidos,Desechos sólidos,Seguimiento,Gestión integral de residuos y desechos sólidos,No,0,"diagnostico para recuperación y manejo de PTRS, seguimiento PIRDS, Estudio de caracterizacion de residuos sólidos sector comercial y de mercados.",No nos atendieron por situacion de auditoria municipal
