programa,anio,mes_num,mes,zona_codigo,municipio_origen,material,cantidad,pagado_unit_gtq,precio_vendido_unit_gtq,gtq_total_pagados,ingreso_total_venta,ingreso_cooperativa
atitlan_recicla,2026,2,FEB,ZS,ZS - San Lucas Tolimán,PET verde,3.0,15.0,15.0,45.0,45.0,0.0
atitlan_recicla,2026,2,FEB,ZS,ZS - San Lucas Tolimán,Plástico duro (PP),2.25,35.0,40.0,78.75,90.0,11.25
atitlan_recicla,2026,2,FEB,ZS,ZS - San Lucas Tolimán,Plástico soplado (PEAD),3.5,35.0,40.0,122.5,140.0,17.5
atitlan_recicla,2026,2,FEB,ZS,ZS - San Lucas Tolimán,Quintal vidrio VER,47.0,10.0,10.0,470.0,470.0,0.0
atitlan_recicla,2026,2,FEB,ZS,ZS - San Lucas Tolimán,Quintal vidrio mixto,75.0,45.0,45.0,1695.0,1695.0,0.0
atitlan_recicla,2026,2,FEB,ZS,ZS - San Lucas Tolimán,Quintal vidrio sucio,15.0,8.0,8.0,120.0,120.0,0.0
atitlan_recicla,2026,2,FEB,ZS,ZS - Santiago Atitlán,Aluminio latas,2.0,370.0,400.0,740.0,800.0,60.0
atitlan_recicla,2026,2,FEB,ZS,ZS - Santiago Atitlán,Cartón,10.0,10.0,10.0,100.0,100.0,0.0
atitlan_recicla,2026,2,FEB,ZS,ZS - Santiago Atitlán,Chatarra 2da.,0.35,20.0,20.0,7.0,7.0,0.0
atitlan_recicla,2026,2,FEB,ZS,ZS - Santiago Atitlán,PET celeste,0.15,20.0,20.0,3.0,3.0,0.0
atitlan_recicla,2026,2,FEB,ZS,ZS - Santiago Atitlán,PET transparente,4.0,40.0,40.0,160.0,160.0,0.0
atitlan_recicla,2026,2,FEB,ZS,ZS - Santiago Atitlán,Papel mixto,4.4,25.0,25.0,110.00000000000001,110.00000000000001,0.0
atitlan_recicla,2026,2,FEB,ZS,ZS - Santiago Atitlán,Plástico duro (PP),0.1,35.0,35.0,3.5,3.5,0.0
atitlan_recicla,2026,2,FEB,ZS,ZS - Santiago Atitlán,Plástico soplado (PEAD),0.3,35.0,35.0,10.5,10.5,0.0
atitlan_recicla,2026,2,FEB,ZS,ZS - Santiago Atitlán,Quintal vidrio VER,30.0,10.0,10.0,300.0,300.0,0.0
atitlan_recicla,2026,2,FEB,ZS,ZS - Santiago Atitlán,Quintal vidrio mixto,120.0,22.0,22.0,2640.0,2640.0,0.0
atitlan_recicla,2026,2,FEB,ZS,ZS - Santiago Atitlán,Quintal vidrio sucio,27.0,8.0,8.0,216.0,216.0,0.0
atitlan_recicla,2026,2,FEB,ZS,ZS - Santiago Atitlán,cartoncillo,0.15,5.0,5.0,0.75,0.75,0.0
