record_key,programa,anio,mes,recolector,municipio_origen,zona_codigo,material,cantidad,pagado_unit_gtq,precio_vendido_unit_gtq,gtq_total_pagados,ingreso_total_venta,ingreso_cooperativa,source_sheet,source_row,mes_num
Cooperativa Atitlán Recicla|ENE|LL - Tzununá|Papel mixto |27,atitlan_recicla,2026,ENE,Lideresas,LL - Tzununá,LL,Papel mixto,0.29,20.0,20.0,5.8,5.8,0.0,Compras,27,1
Cooperativa Atitlán Recicla|ENE|LL - Tzununá|Quintal vidrio TR|28,atitlan_recicla,2026,ENE,Lideresas,LL - Tzununá,LL,Quintal vidrio TR,52.15,21.0,21.0,1095.1499999999999,1095.1499999999999,0.0,Compras,28,1
Cooperativa Atitlán Recicla|ENE|LL - Tzununá|Quintal vidrio AM|29,atitlan_recicla,2026,ENE,Lideresas,LL - Tzununá,LL,Quintal vidrio AM,2.95,20.0,20.0,59.0,59.0,0.0,Compras,29,1
Cooperativa Atitlán Recicla|ENE|LL - Tzununá|Quintal vidrio sucio|30,atitlan_recicla,2026,ENE,Lideresas,LL - Tzununá,LL,Quintal vidrio sucio,0.42,12.0,12.0,5.04,5.04,0.0,Compras,30,1
Cooperativa Atitlán Recicla|ENE|LL - Tzununá|Botella Vino y Ron Limpia|31,atitlan_recicla,2026,ENE,Lideresas,LL - Tzununá,LL,Botella Vino y Ron Limpia,176.0,0.45,1.25,79.2,220.0,140.8,Compras,31,1
Cooperativa Atitlán Recicla|ENE|LL - Tzununá|Botella Modelo Limpia|32,atitlan_recicla,2026,ENE,Lideresas,LL - Tzununá,LL,Botella Modelo Limpia,454.0,0.45,0.95,204.3,431.29999999999995,226.99999999999994,Compras,32,1
Cooperativa Atitlán Recicla|ENE|LL - San Juan la Laguna|PET transparente|33,atitlan_recicla,2026,ENE,Lideresas,LL - San Juan la Laguna,LL,PET transparente,0.4,50.0,50.0,20.0,20.0,0.0,Compras,33,1
Cooperativa Atitlán Recicla|ENE|LL - San Juan la Laguna|PET celeste|34,atitlan_recicla,2026,ENE,Lideresas,LL - San Juan la Laguna,LL,PET celeste,0.14,15.0,15.0,2.1,2.1,0.0,Compras,34,1
Cooperativa Atitlán Recicla|ENE|LL - San Juan la Laguna|PET verde|35,atitlan_recicla,2026,ENE,Lideresas,LL - San Juan la Laguna,LL,PET verde,0.02,15.0,15.0,0.3,0.3,0.0,Compras,35,1
Cooperativa Atitlán Recicla|ENE|LL - San Juan la Laguna|Plástico duro (PP)|36,atitlan_recicla,2026,ENE,Lideresas,LL - San Juan la Laguna,LL,Plástico duro (PP),0.37,25.0,25.0,9.25,9.25,0.0,Compras,36,1
Cooperativa Atitlán Recicla|ENE|LL - San Juan la Laguna|Plástico soplado (PEAD)|37,atitlan_recicla,2026,ENE,Lideresas,LL - San Juan la Laguna,LL,Plástico soplado (PEAD),0.51,30.0,30.0,15.3,15.3,0.0,Compras,37,1
Cooperativa Atitlán Recicla|ENE|LL - San Juan la Laguna|Chatarra 2da. |38,atitlan_recicla,2026,ENE,Lideresas,LL - San Juan la Laguna,LL,Chatarra 2da.,3.75,20.0,20.0,75.0,75.0,0.0,Compras,38,1
Cooperativa Atitlán Recicla|ENE|LL - San Juan la Laguna|Aluminio latas|39,atitlan_recicla,2026,ENE,Lideresas,LL - San Juan la Laguna,LL,Aluminio latas,0.16,300.0,300.0,48.0,48.0,0.0,Compras,39,1
Cooperativa Atitlán Recicla|ENE|LL - San Juan la Laguna|Cartón |40,atitlan_recicla,2026,ENE,Lideresas,LL - San Juan la Laguna,LL,Cartón,21.55,10.0,10.0,215.5,215.5,0.0,Compras,40,1
Cooperativa Atitlán Recicla|ENE|LL - San Juan la Laguna|Papel mixto |41,atitlan_recicla,2026,ENE,Lideresas,LL - San Juan la Laguna,LL,Papel mixto,2.58,20.0,20.0,51.6,51.6,0.0,Compras,41,1
Cooperativa Atitlán Recicla|ENE|LL - San Juan la Laguna|Quintal vidrio TR|42,atitlan_recicla,2026,ENE,Lideresas,LL - San Juan la Laguna,LL,Quintal vidrio TR,44.23,21.0,21.0,928.8299999999999,928.8299999999999,0.0,Compras,42,1
Cooperativa Atitlán Recicla|ENE|LL - San Juan la Laguna|Quintal vidrio AM|43,atitlan_recicla,2026,ENE,Lideresas,LL - San Juan la Laguna,LL,Quintal vidrio AM,4.03,20.0,20.0,80.60000000000001,80.60000000000001,0.0,Compras,43,1
Cooperativa Atitlán Recicla|ENE|LL - San Juan la Laguna|Quintal vidrio sucio|44,atitlan_recicla,2026,ENE,Lideresas,LL - San Juan la Laguna,LL,Quintal vidrio sucio,0.72,12.0,12.0,8.64,8.64,0.0,Compras,44,1
Cooperativa Atitlán Recicla|ENE|LL - San Marcos la Laguna|PET transparente|45,atitlan_recicla,2026,ENE,Municipalidad,LL - San Marcos la Laguna,LL,PET transparente,5.2,25.0,50.0,130.0,260.0,130.0,Compras,45,1
Cooperativa Atitlán Recicla|ENE|LL - San Marcos la Laguna|PET celeste|46,atitlan_recicla,2026,ENE,Municipalidad,LL - San Marcos la Laguna,LL,PET celeste,2.86,15.0,15.0,42.9,42.9,0.0,Compras,46,1
Cooperativa Atitlán Recicla|ENE|LL - San Marcos la Laguna|PET verde|47,atitlan_recicla,2026,ENE,Municipalidad,LL - San Marcos la Laguna,LL,PET verde,0.25,10.0,15.0,2.5,3.75,1.25,Compras,47,1
Cooperativa Atitlán Recicla|ENE|LL - San Marcos la Laguna|Plástico duro (PP)|48,atitlan_recicla,2026,ENE,Municipalidad,LL - San Marcos la Laguna,LL,Plástico duro (PP),1.05,25.0,25.0,26.25,26.25,0.0,Compras,48,1
Cooperativa Atitlán Recicla|ENE|LL - San Marcos la Laguna|Plástico soplado (PEAD)|49,atitlan_recicla,2026,ENE,Municipalidad,LL - San Marcos la Laguna,LL,Plástico soplado (PEAD),1.25,30.0,30.0,37.5,37.5,0.0,Compras,49,1
Cooperativa Atitlán Recicla|ENE|LL - San Marcos la Laguna|Cartón |50,atitlan_recicla,2026,ENE,Municipalidad,LL - San Marcos la Laguna,LL,Cartón,6.15,10.0,10.0,61.5,61.5,0.0,Compras,50,1
Cooperativa Atitlán Recicla|ENE|LL - San Marcos la Laguna|Papel mixto |51,atitlan_recicla,2026,ENE,Municipalidad,LL - San Marcos la Laguna,LL,Papel mixto,0.45,20.0,20.0,9.0,9.0,0.0,Compras,51,1
Cooperativa Atitlán Recicla|ENE|LL - San Marcos la Laguna|Quintal vidrio TR|52,atitlan_recicla,2026,ENE,Municipalidad,LL - San Marcos la Laguna,LL,Quintal vidrio TR,15.45,17.0,21.0,262.65,324.45,61.80000000000001,Compras,52,1
Cooperativa Atitlán Recicla|ENE|LL - San Marcos la Laguna|Quintal vidrio AM|53,atitlan_recicla,2026,ENE,Municipalidad,LL - San Marcos la Laguna,LL,Quintal vidrio AM,5.35,15.0,20.0,80.25,107.0,26.75,Compras,53,1
Cooperativa Atitlán Recicla|ENE|LL - San Marcos la Laguna|Quintal vidrio sucio|54,atitlan_recicla,2026,ENE,Municipalidad,LL - San Marcos la Laguna,LL,Quintal vidrio sucio,2.1,10.0,12.0,21.0,25.200000000000003,4.200000000000003,Compras,54,1
Cooperativa Atitlán Recicla|ENE|K - Sololá|PET transparente|55,atitlan_recicla,2026,ENE,Lideresas,K - Sololá,K,PET transparente,3.89,40.0,40.0,155.6,155.6,0.0,Compras,55,1
Cooperativa Atitlán Recicla|ENE|K - Sololá|PET celeste|56,atitlan_recicla,2026,ENE,Lideresas,K - Sololá,K,PET celeste,1.07,20.0,20.0,21.400000000000002,21.400000000000002,0.0,Compras,56,1
Cooperativa Atitlán Recicla|ENE|K - Sololá|Plástico duro (PP)|57,atitlan_recicla,2026,ENE,Lideresas,K - Sololá,K,Plástico duro (PP),9.79,35.0,35.0,342.65,342.65,0.0,Compras,57,1
Cooperativa Atitlán Recicla|ENE|K - Sololá|Plástico soplado (PEAD)|58,atitlan_recicla,2026,ENE,Lideresas,K - Sololá,K,Plástico soplado (PEAD),3.59,35.0,35.0,125.64999999999999,125.64999999999999,0.0,Compras,58,1
Cooperativa Atitlán Recicla|ENE|K - Sololá|Galones de aceite |59,atitlan_recicla,2026,ENE,Lideresas,K - Sololá,K,Galones de aceite,0.47,20.0,20.0,9.399999999999999,9.399999999999999,0.0,Compras,59,1
Cooperativa Atitlán Recicla|ENE|K - Sololá|Chatarra 2da. |60,atitlan_recicla,2026,ENE,Lideresas,K - Sololá,K,Chatarra 2da.,5.59,20.0,20.0,111.8,111.8,0.0,Compras,60,1
Cooperativa Atitlán Recicla|ENE|K - Sololá|Aluminio latas|61,atitlan_recicla,2026,ENE,Lideresas,K - Sololá,K,Aluminio latas,0.48,370.0,400.0,177.6,192.0,14.400000000000006,Compras,61,1
Cooperativa Atitlán Recicla|ENE|K - Sololá|Cartón |62,atitlan_recicla,2026,ENE,Lideresas,K - Sololá,K,Cartón,31.35,10.0,10.0,313.5,313.5,0.0,Compras,62,1
Cooperativa Atitlán Recicla|ENE|K - Sololá|cartoncillo|63,atitlan_recicla,2026,ENE,Lideresas,K - Sololá,K,cartoncillo,24.16,5.0,5.0,120.8,120.8,0.0,Compras,63,1
Cooperativa Atitlán Recicla|ENE|K - Sololá|Papel mixto |64,atitlan_recicla,2026,ENE,Lideresas,K - Sololá,K,Papel mixto,10.38,25.0,25.0,259.5,259.5,0.0,Compras,64,1
Cooperativa Atitlán Recicla|ENE|K - Sololá|Quintal vidrio VER|65,atitlan_recicla,2026,ENE,Lideresas,K - Sololá,K,Quintal vidrio VER,9.35,10.0,10.0,93.5,93.5,0.0,Compras,65,1
Cooperativa Atitlán Recicla|ENE|K - Sololá|Quintal vidrio mixto|66,atitlan_recicla,2026,ENE,Lideresas,K - Sololá,K,Quintal vidrio mixto,60.75,22.0,22.0,1336.5,1336.5,0.0,Compras,66,1
Cooperativa Atitlán Recicla|ENE|K - Santa Catarina Palopó|PET transparente|67,atitlan_recicla,2026,ENE,Lideresas,K - Santa Catarina Palopó,K,PET transparente,0.95,40.0,40.0,38.0,38.0,0.0,Compras,67,1
Cooperativa Atitlán Recicla|ENE|K - Santa Catarina Palopó|PET celeste|68,atitlan_recicla,2026,ENE,Lideresas,K - Santa Catarina Palopó,K,PET celeste,0.45,20.0,20.0,9.0,9.0,0.0,Compras,68,1
Cooperativa Atitlán Recicla|ENE|K - Santa Catarina Palopó|Plástico soplado (PEAD)|69,atitlan_recicla,2026,ENE,Lideresas,K - Santa Catarina Palopó,K,Plástico soplado (PEAD),0.38,35.0,35.0,13.3,13.3,0.0,Compras,69,1
Cooperativa Atitlán Recicla|ENE|K - Santa Catarina Palopó|Cartón |70,atitlan_recicla,2026,ENE,Lideresas,K - Santa Catarina Palopó,K,Cartón,1.78,10.0,10.0,17.8,17.8,0.0,Compras,70,1
Cooperativa Atitlán Recicla|ENE|K - Santa Catarina Palopó|Quintal vidrio VER|71,atitlan_recicla,2026,ENE,Lideresas,K - Santa Catarina Palopó,K,Quintal vidrio VER,11.0,10.0,10.0,110.0,110.0,0.0,Compras,71,1
Cooperativa Atitlán Recicla|ENE|K - Santa Catarina Palopó|Quintal vidrio mixto|72,atitlan_recicla,2026,ENE,Lideresas,K - Santa Catarina Palopó,K,Quintal vidrio mixto,11.0,22.0,22.0,242.0,242.0,0.0,Compras,72,1
Cooperativa Atitlán Recicla|ENE|ZS - Santiago Atitlán|PET transparente|73,atitlan_recicla,2026,ENE,Lideresas,ZS - Santiago Atitlán,ZS,PET transparente,3.5,40.0,40.0,140.0,140.0,0.0,Compras,73,1
Cooperativa Atitlán Recicla|ENE|ZS - Santiago Atitlán|Plástico duro (PP)|74,atitlan_recicla,2026,ENE,Lideresas,ZS - Santiago Atitlán,ZS,Plástico duro (PP),0.37,35.0,35.0,12.95,12.95,0.0,Compras,74,1
Cooperativa Atitlán Recicla|ENE|ZS - Santiago Atitlán|Plástico soplado (PEAD)|75,atitlan_recicla,2026,ENE,Lideresas,ZS - Santiago Atitlán,ZS,Plástico soplado (PEAD),1.0,35.0,35.0,35.0,35.0,0.0,Compras,75,1
Cooperativa Atitlán Recicla|ENE|ZS - Santiago Atitlán|Chatarra 2da. |76,atitlan_recicla,2026,ENE,Lideresas,ZS - Santiago Atitlán,ZS,Chatarra 2da.,3.25,20.0,20.0,65.0,65.0,0.0,Compras,76,1
Cooperativa Atitlán Recicla|ENE|ZS - Santiago Atitlán|Aluminio latas|77,atitlan_recicla,2026,ENE,Lideresas,ZS - Santiago Atitlán,ZS,Aluminio latas,2.4,370.0,400.0,888.0,960.0,72.0,Compras,77,1
