record_key,programa,anio,mes_num,mes,zona,territorio,tipo_operacion,source_sheet,source_heading_row,source_month_col,mujeres_activas,mujeres_actividades,mujeres_comercializacion,mujeres_comercializacion_no_inscritas,mujeres_inscritas_total,mujeres_nuevas_inscritas,materiales_lideresas_qq,materiales_municipalidad_qq,total_materiales_qq,ingreso_bruto_lideresas,gasto_transporte,pago_coop_lideresas,ingreso_neto_lideresas,ingreso_bruto_municipalidad,pago_coop_municipalidad,ingreso_neto_municipalidad,ingreso_bruto_total,ingreso_neto_total_territorio,ingreso_neto_cooperativa,horas_trabajadas_lideresas,ingreso_diario_lideresa,pet_qq,vidrio_cerveza_gronn_unid,vidrio_vino_gronn_unid,vidrio_cerveza_surusic_unid,vidrio_vino_surusic_unid,vidrio_peso_qq,vidrio_total_qq,ingreso_pet,ingreso_vidrio_peso,ingreso_vidrio_gronn,ingreso_vidrio_surusic,has_any_data
ATITLAN_RECICLA|2026|05|San Lucas Tolimán,Cooperativa Atitlán Recicla,2026,5,MAY,Zona Sur,San Lucas Tolimán,mujeres_y_muni,Datos_Impacto,41,K,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|06|San Lucas Tolimán,Cooperativa Atitlán Recicla,2026,6,JUN,Zona Sur,San Lucas Tolimán,mujeres_y_muni,Datos_Impacto,41,L,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|07|San Lucas Tolimán,Cooperativa Atitlán Recicla,2026,7,JUL,Zona Sur,San Lucas Tolimán,mujeres_y_muni,Datos_Impacto,41,N,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|08|San Lucas Tolimán,Cooperativa Atitlán Recicla,2026,8,AGO,Zona Sur,San Lucas Tolimán,mujeres_y_muni,Datos_Impacto,41,O,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|09|San Lucas Tolimán,Cooperativa Atitlán Recicla,2026,9,SEP,Zona Sur,San Lucas Tolimán,mujeres_y_muni,Datos_Impacto,41,P,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|10|San Lucas Tolimán,Cooperativa Atitlán Recicla,2026,10,OCT,Zona Sur,San Lucas Tolimán,mujeres_y_muni,Datos_Impacto,41,Q,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|11|San Lucas Tolimán,Cooperativa Atitlán Recicla,2026,11,NOV,Zona Sur,San Lucas Tolimán,mujeres_y_muni,Datos_Impacto,41,R,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|01|Jaibalito,Cooperativa Atitlán Recicla,2026,1,ENE,Las Lagunas,Jaibalito,mujeres,Datos_Impacto,75,G,2,2,2,0,3,0,17.81,0,17.81,363.25,0,0,363.25,0,0,0,363.25,363.25,0,31.7,36.325,1.26,0,0,0,0,4.95,4.95,43.65,92.1,0,0,True
ATITLAN_RECICLA|2026|02|Jaibalito,Cooperativa Atitlán Recicla,2026,2,FEB,Las Lagunas,Jaibalito,mujeres,Datos_Impacto,75,H,2,2,2,0,3,0,18.19,0,18.19,356.8,0,0,356.8,0,0,0,356.8,356.8,0,35.8,35.68,0.73,0,0,0,0,7.3,7.3,27.4,137.8,0,0,True
ATITLAN_RECICLA|2026|03|Jaibalito,Cooperativa Atitlán Recicla,2026,3,MAR,Las Lagunas,Jaibalito,mujeres,Datos_Impacto,75,I,,,,,,,,,0,,,,0,,,0,0,0,0,,,,,,,,,0,,,,,True
